20250911	13:46:41	c58cd128-16df-46cf-952c-97164b6347c2	GET	undefined	/subdir/nig
20250911	13:46:41	cc996863-746c-44a7-a6ec-b2536c51679b	GET	undefined	/subdir/css/style.css
20250911	13:47:04	d842e368-798b-447f-9a3d-72c707b8c721	GET	undefined	/nigga
20250911	13:47:04	55c012d4-c80e-4ced-8472-fa543f23581e	GET	undefined	/css/style.css
20250911	13:49:03	dca8cd26-f6c4-4d15-9c89-86f91b761bef	GET	undefined	/subdir
20250911	13:49:03	7858f80a-b452-445c-bb4d-e3049df7c4f4	GET	undefined	/subdir/
20250911	13:49:07	35a04848-7328-40bd-8c5b-60164e06725a	GET	undefined	/subdir/nig
20250911	13:49:07	0b4bddea-df31-4af6-a096-a36d6e12fc1f	GET	undefined	/subdir/css/style.css
20250911	13:53:55	302f63c1-e786-47c1-92b9-d5f1065db39e	GET	undefined	/index.html
20250911	13:53:55	6046bbb6-1d8d-4f72-9aab-ad9cea3fdfa4	GET	undefined	/css/style.css
20250911	13:53:58	efca38e7-7973-44f8-a1a4-be7dd8788a83	GET	undefined	/new-page.html
20250911	13:53:58	65599573-94c3-455a-a279-fe5180c98fc5	GET	undefined	/css/style.css
20250911	13:53:58	1beb9045-0d10-44d7-99e0-f479f61e5fbb	GET	undefined	/img/img1.jpg
20250911	13:54:02	d5a94dd4-6e52-4c1d-970c-001a8c35f18c	GET	undefined	/new-page.html
20250911	13:54:02	3e53d30a-7af1-4fe4-915a-14f0a0d74d42	GET	undefined	/css/style.css
20250911	13:54:02	4779f214-11a4-4101-849a-dc63b936283b	GET	undefined	/img/img1.jpg
20250911	13:54:06	5bcdd342-ad5c-4448-adc6-19f04c7256dd	GET	undefined	/views/new-page.html
20250911	13:54:06	fd0908bf-a94f-4c74-b540-2ea4a51a546f	GET	undefined	/views/css/style.css
20250911	13:54:13	8838ab34-9bfb-4e75-a1a5-4a1e825568a9	GET	undefined	/new-page.html
20250911	13:54:13	fbebe0d0-0aeb-4f2f-979b-0a7c0a1cdcf9	GET	undefined	/css/style.css
20250911	13:54:13	701cf7b0-9c35-4789-a704-a251d3622a74	GET	undefined	/img/img1.jpg
20250911	13:54:24	81453cd3-2eae-4fc8-8772-48c39ed3343b	GET	undefined	/index.html
20250911	13:54:24	8cd0cf74-161e-40c0-85a6-b3deaab20147	GET	undefined	/css/style.css
20250911	13:54:32	8532be86-34fe-4b73-8d3d-73bc628e9629	GET	undefined	/subdir/
20250911	13:54:35	6d1a54d7-5386-43c3-8178-d29934caae9c	GET	undefined	/subdir/test.html
20250911	14:09:57	4d7c7082-e852-4d4a-9d2a-38b3b19e5875	GET	undefined	/employees
20250911	14:10:02	af5c50af-e32a-49d1-8bb0-0013e05b519e	GET	undefined	/
20250911	14:53:37	3b22e215-2cfe-4641-bfd6-cecc557e08fb	GET	undefined	/emplyees
20250911	14:53:42	1a18ab97-246a-42ce-8316-903168d20d5a	GET	undefined	/employees
20250911	14:54:46	833ffc8e-c76e-4ac5-9730-68d16e9f5469	POST	undefined	/employees
20250911	14:55:17	6735a023-7ee7-48d4-b96b-b85701dbd6e6	PUT	undefined	/employees
20250911	14:55:35	df49ca97-ee8b-4f94-8edd-0103d2bcea81	PUT	undefined	/employees
20250911	14:55:48	473e31d7-279d-4b05-9d86-e65fdff4e046	PUT	undefined	/employees
20250911	14:56:26	8eb32ff0-9328-46aa-8977-bb2ad295c289	DELETE	undefined	/employees
20250911	14:57:22	babc0126-269c-46b4-a4df-bcf547945a50	GET	undefined	/employees/1
20250911	16:39:05	81759b94-1a12-459b-a797-8674974f9e1e	GET	undefined	/employees
20250911	17:01:01	e90df66e-9d0c-4956-b29e-fede9f9ec472	OPTIONS	https://www.google.com	/
20250911	17:01:02	d989978b-3c58-4281-b0ad-bf3ff2ac0379	GET	https://www.google.com	/
20250911	17:01:09	585a59db-d26b-4540-bffb-aafc9a0a8f1e	GET	undefined	/subdir/test
20250911	18:02:20	65880401-52a7-4237-b7b4-f967423f681d	GET	undefined	/employees
20250911	18:02:28	5915611b-f5f2-43e4-8ffa-5964e110764b	GET	undefined	/employees/1
20250911	18:02:57	dab6985b-24a7-4b10-a36b-58b8eb6dea31	GET	undefined	/employees/1
20250911	18:03:07	fb014356-c888-43b4-baed-f121ed268ffd	GET	undefined	/employees/1
20250911	18:03:26	aea8abb3-bc1d-40c8-bef0-e1a7ff64ac36	GET	undefined	/employees
20250911	18:03:33	9b39f426-91b4-4102-9cd2-c3b4fa9e5134	GET	undefined	/employees
20250911	18:03:56	8fda6544-d919-4e55-8551-145f5fd00fa6	GET	undefined	/employees/2
20250911	18:05:30	bcacf3d9-c534-4336-b893-06cfdb5424d8	GET	undefined	/employees
20250911	18:05:31	c3a7f66a-6566-444f-95f6-ec911c39dacf	GET	undefined	/employees
20250911	18:05:33	52521590-2b43-4a17-9186-bb0044db0506	GET	undefined	/employees
20250911	18:05:33	dc14faa0-2cb9-429c-8233-78233ffb4375	GET	undefined	/employees
20250911	18:05:33	2d3a58f0-00ec-4c9d-b6c2-06795e46ee25	GET	undefined	/employees
20250911	18:05:37	7be798b2-de1e-4fd0-a3f2-af82c6d3456a	GET	undefined	/employees
20250911	18:06:03	6aa81c1f-b752-42b1-9606-2826f38283d6	GET	undefined	/employees
20250911	18:06:24	850e7cd4-ab37-40a6-9ac4-3eed534168ba	GET	undefined	/employees
20250911	18:07:06	8f866c56-a2e1-465a-bc64-d105eeb72364	POST	undefined	/employees
20250911	18:08:58	02f5759d-2463-487e-be2c-886c53d1dd81	PUT	undefined	/employees
20250911	18:09:08	377dae51-08f6-454b-b57b-b57096385191	PUT	undefined	/employees
20250911	18:09:42	6b9ebb8a-7d57-4a5c-a2ad-6f98e303868d	PUT	undefined	/employees
20250911	18:09:55	1b880f78-f328-4f0a-8202-880ded7b1266	PUT	undefined	/employees
20250911	18:10:11	f4d7d4b0-500e-4747-b934-2ed4555232d4	PUT	undefined	/employees
20250911	18:10:15	85ff0d09-ba8f-43ee-883f-71e6417b458b	PUT	undefined	/employees
20250911	18:10:18	8f594ae1-f8f3-42d8-ac66-fdd9cc5bcbcb	PUT	undefined	/employees
20250911	18:11:53	d711843b-a0b5-43b5-8286-26808ad13077	GET	undefined	/employees
20250911	18:12:22	7db0dfc8-5153-4869-8b3d-07fa3a5f5fdd	POST	undefined	/employees
20250911	18:13:03	b64ee9d6-fa0d-43d3-a18a-8354e25e06c3	POST	undefined	/employees
